October 2022: Table 1
Tea 100 tea bags;US$717,99 ;US$1.30;;
Thai Rice 2kg;$1 011.99;US$1.84;;
Tinned beans 410g;US$344,99 ;US$0.63;;
Tinned fish 155g;US$593,99 ;US$1.08;;
Tissues (Pack of 4);US$527,99 ;US$0.96;;
Toilet Cleaner 500ml;US$829,99 ;US$1.51;;
Toothpaste 100ml;US$594,99 ;US$1.08;;
Washing Powder 1kg;$1 507.99;US$2.74;;
Washing Powder 2kg;$2 174.99;US$3.95;;

May 2021: Table 1
Item;OK;Pick N Pay;FoodWorld;
All Purpose Cleaner 750ml;120,99;109,99;150;
Bath soap Geisha 225g;83,99;;79,4;
Bath soap Jade 250g;63,99;na;na;
Bath Soap Sona;52,99;57,99;49,99;
Beans Dried 500g;na;129,99;225,7;
Bleach/Jik 750ml;211,99;289,99;250,05;
Bread Bakers Inn;99,99;94;93,85;
Bread Lobels;95,49;94;93,85;
Bread Proton;95,49;94;93,85;
Bread Shop;82,99;82,99;83,6;
Candles 6pack 450g;166,69;149,99;158,4;
Cereal (Cerevita) 500g;229,99;299,99;259,99;
Cooking Oil 2l;351,99;339,99;348,99;
Creamer 1kg;464,99;429,99;459,9;
Diapers 50;1035,99;999,99;779,95;
Dish Washer 750ml;221,39;229,99;117,25;
Drink Bally House;249,99;224,99;241,4;
Drink Cheapest;109,99;259,99;188,9;
Drink Mazoe  Original 2l;304,99;299,99;299,99;
Drink Mazoe less sugar;na;na;na;
Eggs 30;499,99;519,99;501,6;
Eggs 6;na;na;na;
Flour 2kg;223,99;244,99;227,7;
Green bar;104,69;113,99;99,99;
Jam 375ml;118,99;134,99;119,05;
Kapenta 1KG;1479,98;1659,98;1295,2;
Kapenta 500g;739,99;829,99;647,95;
Lotion/Cream  Camphor 300ml;184,99;154,99;151,15;
Macaroni 3kg;509,99;539,99;499,9;
Margarine 500g;129,99;134,99;137,99;
Matches pack of 10 boxes;52,99;44,99;50,75;
Mayonnaise 750g;299,99;229,99;256,99;
Mealie-meal 10kg;582,99;599,99;647,4;
Mealie-meal Refined 10kg;694,99;669,99;638;
Milk 1l;118,99;124,99;na;
Peanut butter 375ml;na;174,99;182,73;
Petroleum Jelly 300ml;135,99;199,99;219,8;
Rice white/Long grain;273,99;249,99;234,99;
Salt 1kg;48,99;49,99;44,4;
Sanitary Pads 10s/8s;97,99;84,99;77,5;
Scouring powder 500g;68,59;29,99;34,3;
Shoe polish 100ml;221,29;;185,98;
Shoe polish 50ml;117,19;;92,99;
Soup Usavi Mix 50g;36,99;39,99;36,2;
Stasoft Refill (500ml);242,99;279,99;252,45;
Sugar 2kg;na;226,99;223,1;
